ra,dec
45.09046,-36.921
45.09046,-36.921
46.20808,-34.05489
47.40778,-41.03047
47.47671,-39.97186
47.54368,-40.00292
47.60147,-33.15617
47.70717,-41.79911
47.74673,-41.66102
47.8417,-31.33488
47.87242,-31.38222
48.55759,-34.50922
48.70592,-34.08136
48.94381,-38.52491
49.06358,-31.20947
49.21096,-33.30114
49.22005,-35.54053
49.32744,-41.10807
49.37708,-37.84375
49.69792,-31.91139
49.85406,-32.64945
49.8939,-32.46502
49.89404,-32.46511
49.89404,-32.46511
50.11208,-31.24811
50.26429,-37.10169
50.30028,-36.26565
50.38931,-33.33326
50.52,-37.5875
50.59455,-37.39823
50.67383,-37.20823
50.67396,-37.17397
50.68453,-37.10369
50.68817,-37.19167
50.79217,-34.63317
50.79217,-34.63317
50.866,-31.26908
50.88917,-36.98389
50.90525,-35.77839
50.97588,-37.50917
50.985,-36.46467
51.07374,-35.2616
51.2185,-35.43544
51.24358,-37.00947
51.26745,-36.92743
51.28333,-36.92625
51.2854,-36.36395
51.28957,-36.55295
51.30054,-32.90243
51.33478,-36.38495
51.3525,-36.74472
51.39953,-32.95986
51.44237,-35.50827
51.50933,-32.89456
51.53102,-35.12749
51.55012,-30.14935
51.567,-30.7965
51.60425,-37.12817
51.63412,-35.71356
51.63717,-35.71558
51.64479,-32.31433
51.67732,-34.54721
51.68083,-37.29861
51.71625,-36.79861
51.72545,-35.5179
51.73363,-30.70992
51.78392,-34.39981
51.78821,-37.15281
51.81921,-33.48636
51.82517,-34.52644
51.84004,-36.14644
51.86161,-31.8336
51.86629,-35.92347
51.89083,-35.71778
51.89512,-37.50498
51.94417,-33.56417
51.97555,-37.37598
51.99342,-37.15
51.99992,-33.66259
52.02742,-32.28611
52.02783,-35.23658
52.08008,-31.77003
52.08196,-31.06817
52.11762,-33.73402
52.203,-35.17814
52.21598,-33.84453
52.21651,-33.84645
52.23689,-36.43603
52.38866,-35.86633
52.425,-36.22144
52.43027,-33.55694
52.43946,-35.37844
52.53296,-32.47574
52.54321,-33.69326
52.62717,-34.26
52.64575,-34.85394
52.66816,-31.934
52.69254,-35.54942
52.6927,-35.55014
52.6945,-35.35442
52.73447,-33.55569
52.75062,-35.46919
52.78383,-33.62864
52.78442,-36.29014
52.80066,-33.2438
52.8296,-32.05324
52.84517,-34.97167
52.85333,-35.33106
52.86192,-37.18014
52.86208,-35.49453
52.87771,-30.21333
52.88658,-38.06131
52.92388,-32.56756
52.93733,-34.33814
52.94542,-35.67567
52.94826,-35.05187
52.98173,-31.33763
53.04474,-36.22081
53.04725,-31.48344
53.11408,-35.77522
53.13077,-36.0867
53.18807,-37.83658
53.19559,-37.64196
53.19854,-34.23869
53.2025,-36.15306
53.23904,-35.73764
53.26375,-36.44333
53.26458,-33.72302
53.26507,-33.72489
53.27854,-34.80811
53.28833,-35.71853
53.30317,-36.01736
53.31106,-37.81964
53.376,-36.15875
53.3802,-34.4554
53.39101,-33.57332
53.39259,-36.60591
53.40155,-36.1404
53.42208,-31.71111
53.42689,-32.42531
53.43083,-35.85917
53.45208,-35.83583
53.45417,-34.16972
53.47367,-31.19411
53.48083,-34.34667
53.48452,-34.56162
53.48928,-34.61169
53.5764,-35.79482
53.58452,-35.36201
53.5848,-33.42649
53.59083,-34.59261
53.62283,-35.54639
53.62858,-34.2975
53.68375,-35.86139
53.71462,-35.73411
53.735,-35.19111
53.73896,-32.63983
53.7425,-35.04306
53.74671,-35.17111
53.75125,-35.32222
53.769,-35.55628
53.77283,-35.21847
53.81912,-35.22625
53.82008,-35.26567
53.83467,-32.60236
53.85037,-36.36378
53.855,-36.17917
53.8702,-33.33205
53.877,-35.25164
53.87933,-34.44706
53.88677,-35.29925
53.88804,-32.46489
53.89167,-34.80472
53.89863,-35.29069
53.92829,-35.33811
53.92833,-35.51444
53.94313,-35.98956
53.98208,-34.82778
54.01642,-35.38903
54.01646,-35.44119
54.02826,-35.84131
54.05376,-36.16666
54.09807,-35.91186
54.11497,-34.97622
54.11538,-35.23722
54.11625,-35.21056
54.132,-35.29519
54.13794,-33.27449
54.14417,-35.30537
54.15525,-35.386
54.15629,-35.38594
54.18,-34.15917
54.18854,-36.25622
54.18955,-33.01402
54.19243,-35.99941
54.19788,-34.73961
54.19871,-35.80944
54.20267,-34.28
54.205,-36.23
54.20746,-33.46063
54.22037,-36.48622
54.22196,-34.93861
54.22626,-35.37466
54.2341,-35.52545
54.23775,-35.50664
54.24375,-35.49597
