#,identifier,typ,ra,dec
1,LEDA 402506                        ,G  ,97.83333333,-56.16972222
4,2MASX J06312614-5609482            ,BiC,97.85883821,-56.16348799
5,2MASX J06310992-5609315            ,G  ,97.79125,-56.15888889
6,LEDA 402850                        ,G  ,97.83041667,-56.13222222
7,LEDA 402449                        ,G  ,97.89648342,-56.17624082
8,LEDA 402862                        ,G  ,97.81708333,-56.13083333
10,LEDA 402763                        ,G  ,97.92154395,-56.14193787
11,LEDA 403070                        ,G  ,97.79958333,-56.10722222
16,LEDA 403203                        ,G  ,97.86291667,-56.09333333
17,LEDA 403224                        ,G  ,97.79851581,-56.09026545
18,LEDA 401793                        ,G  ,97.8825,-56.24555556
19,2MASX J06314756-5606163            ,G  ,97.94789207,-56.10471882
25,LEDA 403071                        ,G  ,97.98,-56.10694444
26,LEDA 402646                        ,G  ,97.64458333,-56.15361111
27,LEDA 401329                        ,G  ,97.78958333,-56.295
29,Gaia DR3 5495446737254649600       ,G  ,97.86192593,-56.30455463
31,[TKK2018] 5759                     ,PaG,98.09633,-56.17997
34,LEDA 403937                        ,EmG,97.84017059,-56.0125855
35,LEDA 403185                        ,G  ,98.07966787,-56.09515206
37,LEDA 401237                        ,G  ,97.96787467,-56.30462031
39,LEDA 148872                        ,G  ,98.0988477,-56.1039557
40,LEDA 403755                        ,G  ,98.0276896,-56.03443881
43,LEDA 402964                        ,G  ,98.16166667,-56.11916667
44,LEDA 401302                        ,G  ,98.08208333,-56.29805556
47,LEDA 400690                        ,G  ,97.79247421,-56.37120051
48,LEDA 403556                        ,G  ,98.14833333,-56.055
